States / Union Territories,All Categories - Classes I-V - Boys,All Categories - Classes I-V - Girls,All Categories - Classes I-V - Total,All Categories - Classes I-VIII - Boys,All Categories - Classes I-VIII - Girls,All Categories - Classes I-VIII - Total,All Categories - Classes I-X - Boys,All Categories - Classes I-X - Girls,All Categories - Classes I-X - Total,Scheduled Caste - Classes I-V - Boys,Scheduled Caste - Classes I-V - Girls,Scheduled Caste - Classes I-V - Total,Scheduled Caste - Classes I-VIII - Boys,Scheduled Caste - Classes I-VIII - Girls,Scheduled Caste - Classes I-VIII - Total,Scheduled Caste - Classes I-X - Boys,Scheduled Caste - Classes I-X - Girls,Scheduled Caste - Classes I-X - Total,Scheduled Tribe - Classes I-V - Boys,Scheduled Tribe - Classes I-V - Girls,Scheduled Tribe - Classes I-V - Total,Scheduled Tribe - Classes I-VIII - Boys,Scheduled Tribe - Classes I-VIII - Girls,Scheduled Tribe - Classes I-VIII - Total,Scheduled Tribe - Classes I-X - Boys,Scheduled Tribe - Classes I-X - Girls,Scheduled Tribe - Classes I-X - Total
Andhra Pradesh,15.9,15.3,15.6,28.6,27.7,28.2,45.5,46.3,45.9,15.2,14.7,15,32.4,31.1,31.8,49.1,48.4,48.7,32.9,36.6,34.7,54.4,58.2,56.3,69.9,73.5,71.7
Arunachal Pradesh,32.5,29,30.9,52.4,47.1,50,62.4,60.3,61.4,NA,NA,NA,100,100,100,100,100,100,36.1,32.1,34.2,53.4,46.6,50.3,65.1,60.6,63.1
Assam,35.6,28.7,32.2,46.4,54.1,50.2,74.1,70.7,72.4,26.4,21.6,24,36.9,47.2,42,70.4,65.8,68.2,33.1,29.4,31.3,45.4,53,49.2,70.5,69,69.8
Bihar,38,30.7,34.8,58.6,51.1,55.5,70.8,71.9,71.3,36.7,30.5,34.1,67.2,60.5,64.6,80.5,81.1,80.7,14.4,NA,3.1,43.5,22.7,35.7,65.8,63.7,65
Chhattisgarh,28.8,29.8,29.3,43.6,43.8,43.7,50.2,51.4,50.8,29.8,25.6,27.8,45.4,45.1,45.2,55.4,56.4,55.9,37.7,34.6,36.3,53.2,55.7,54.4,53.5,53.7,53.6
Goa,4,5.5,4.7,3.6,6.7,5.1,15.8,17.4,16.6,19.3,24.3,21.8,11.6,24.6,18.6,49.3,52.7,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,38.1,8.3,27.1,50.2,40.8,46.7,49.5,59.3,54.1,25.8,19.1,22.6,48,58.5,52.9,39.1,52.6,45.5,48.6,41.9,45.6,69.4,71.2,70.2,65.3,68,66.6
Haryana,7.2,7,7.1,2.5,NA,1.2,23.6,18.5,21.3,9.3,8.8,9.1,10.4,3.9,7.4,32.1,31.3,31.8,NA,NA,NA,NA,NA,NA,100,100,100
Himachal Pradesh,3.1,4.3,3.7,NA,3.4,1.6,7.3,7,7.1,7.1,7,7.1,8.9,11.2,10,24.6,24.1,24.3,NA,1.6,NA,NA,NA,NA,NA,NA,NA
Jammu and Kashmir,9.8,6.8,8.4,9.6,13.8,11.6,45.5,42.6,44.2,NA,NA,NA,4.4,NA,NA,60.2,59.2,59.7,27.9,31.9,29.8,57.4,67.2,61.7,79.5,84.6,81.7
